colour term,pixels,fraction of frame %
white,110628,36.0117
black,57492,18.7148
red,3630,1.1816
cyan,2637,0.8584
green,218,0.071
blue,27,0.0088
orange,0,0
yellow,0,0
purple,0,0
magenta,0,0
pink,0,0
