colour term,pixels,fraction of frame %
black,53204,17.319
white,29665,9.6566
green,23688,7.7109
cyan,9891,3.2197
orange,4677,1.5225
yellow,277,0.0902
red,0,0
blue,0,0
purple,0,0
magenta,0,0
pink,0,0
