rank,area px,fraction of frame %
1,76896,25.031
2,74801,24.349
3,23979,7.806
4,17751,5.778
5,10269,3.343
6,10035,3.267
7,8250,2.686
8,6105,1.987
9,4227,1.376
10,4010,1.305
11,3734,1.215
12,3401,1.107
13,3356,1.092
14,3161,1.029
15,3024,0.984
16,2741,0.892
17,2425,0.789
18,1562,0.508
19,1539,0.501
20,1484,0.483
