rank,area px,fraction of frame %
1,228216,24.763
2,227086,24.64
3,127553,13.84
4,85977,9.329
5,78613,8.53
6,46106,5.003
7,35303,3.831
8,29997,3.255
9,26303,2.854
10,25193,2.734
11,24612,2.671
12,23933,2.597
13,21966,2.383
14,19190,2.082
15,17950,1.948
16,15053,1.633
17,14582,1.582
18,13031,1.414
19,12488,1.355
20,12375,1.343
