colour term,pixels,fraction of frame %
white,248739,26.9899
black,74880,8.125
orange,49207,5.3393
blue,38351,4.1613
cyan,30069,3.2627
red,25576,2.7752
green,12308,1.3355
purple,278,0.0302
yellow,0,0
magenta,0,0
pink,0,0
