#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,68870,265965,-0.0856,0.0633,0.5982,0.6076,390.4,192,64.2,170,no
1,31304,80549,-0.1056,0.1262,0.4203,0.4514,164.6,4.7,52.4,77,yes
2,26827,190490,-0.121,0.0372,0.6623,0.6743,516.6,277,64.2,170.8,no
3,18961,52270,-0.0192,0.0649,0.6399,0.6435,227.9,125.6,51.7,126.5,no
4,12423,27723,0.144,0.126,0.3439,0.3936,49.4,14.5,163.8,101,yes
5,8654,17342,0.1528,0.1413,0.349,0.4063,29.8,4.5,134,80,yes
6,7084,98408,0.2155,0.0127,0.6212,0.6577,599.6,112,220.9,155.2,no
7,7081,60426,0.3379,-0.042,0.8295,0.8966,106.2,67.8,223.9,155.5,yes
8,6279,35720,0.2009,0.0321,0.5787,0.6134,501.9,136.6,207.3,0.8,no
9,5257,8037,0.1491,0.126,0.3464,0.3976,21.2,3.5,163.4,71.5,yes
10,3182,7081,-0.193,0.0617,0.564,0.5993,83.4,14.9,61.6,171.5,yes
11,3053,9558,0.1307,0.1248,0.3421,0.3869,26.7,9.8,163.8,119.8,yes
