colour term,pixels,fraction of frame %
black,54726,17.8145
white,30945,10.0732
cyan,10617,3.4561
green,5359,1.7445
orange,4776,1.5547
yellow,128,0.0417
red,0,0
blue,0,0
purple,0,0
magenta,0,0
pink,0,0
