rank,area px,fraction of frame %
1,464645,50.417
2,369697,40.115
3,104550,11.344
4,39110,4.244
5,34799,3.776
6,34542,3.748
7,31448,3.412
8,28009,3.039
9,20438,2.218
10,19700,2.138
11,17453,1.894
12,16955,1.84
13,12210,1.325
14,10222,1.109
15,9525,1.034
16,9336,1.013
17,9112,0.989
18,8099,0.879
19,5923,0.643
20,5587,0.606
