#,range from camera m,height above the surface mm,x m,y m,z m
0,0.6776,31.9,-0.0971,0.0032,0.6706
1,0.5389,29.8,0.0554,0.0234,0.5355
2,0.8318,29.4,-0.3103,0.0208,0.7715
3,0.8427,32,-0.1798,-0.0419,0.8222
4,0.7498,32,-0.2415,0.0264,0.7094
