#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,51424,104550,-0.0971,0.0032,0.6706,0.6776,341,277.7,63.9,0,no
1,10697,34542,0.0554,0.0234,0.5355,0.5389,99.1,25.9,59.7,148.3,yes
2,861,10222,-0.3103,0.0208,0.7715,0.8318,203,49.6,58.7,47.5,yes
3,701,17453,-0.1798,-0.0419,0.8222,0.8427,68.6,9.2,63.9,122.8,yes
4,343,5923,-0.2415,0.0264,0.7094,0.7498,30.2,7.3,63.9,24.8,yes
