#,range from camera m,height above the surface mm,x m,y m,z m
0,0.4907,99.4,-0.0947,0.0295,0.4806
1,0.3377,99.4,-0.0597,0.0876,0.3206
2,0.6663,31.7,-0.0882,0.0427,0.6591
3,0.6498,26.2,-0.0133,0.063,0.6466
4,0.3913,82,0.141,0.1258,0.3427
5,0.4055,66.9,0.1525,0.1417,0.348
6,0.6596,110.3,0.2172,0.0125,0.6227
7,0.8955,111.7,0.3378,-0.0412,0.8283
8,0.6111,103.6,0.1963,0.0318,0.5779
9,0.3978,81.5,0.1492,0.1261,0.3466
