colour term,pixels,fraction of frame %
white,287431,31.1883
blue,74908,8.128
black,46648,5.0616
orange,33563,3.6418
cyan,29063,3.1535
red,26575,2.8836
green,12416,1.3472
purple,130,0.0141
yellow,0,0
magenta,0,0
pink,0,0
