#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,7699,260241,-0.0947,0.0295,0.4806,0.4907,626.7,190.8,198.9,170,no
1,3517,80700,-0.0597,0.0876,0.3206,0.3377,278.9,131.7,198.9,23.5,no
2,2873,199453,-0.0882,0.0427,0.6591,0.6663,527.9,216.1,63.5,175,no
3,2112,52276,-0.0133,0.063,0.6466,0.6498,236.3,126.7,52.3,129,no
4,1704,31856,0.141,0.1258,0.3427,0.3913,53.6,15.5,163.9,102.2,yes
5,971,17421,0.1525,0.1417,0.348,0.4055,28.2,4.4,133.7,76.5,yes
6,775,98682,0.2172,0.0125,0.6227,0.6596,603.8,110.4,220.7,155.2,no
7,765,60388,0.3378,-0.0412,0.8283,0.8955,116.7,66.3,223.4,155.8,yes
8,701,61482,0.1963,0.0318,0.5779,0.6111,500.9,126.9,207.2,0.5,no
9,598,8199,0.1492,0.1261,0.3466,0.3978,20.8,2.6,163.1,73.2,yes
10,355,7110,-0.1897,0.0629,0.5625,0.597,80.2,7.1,60.4,170,yes
11,355,166322,0.1263,0.1212,0.3385,0.3811,67,16.8,171.6,138.5,yes
