t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0005,reach,,,,,,,,,,,,0.6670998854788752,-0.044598475430178475,1.162797073823327,-0.08960373121306439,0.48601956804537855,0.8693364765933481,0.0032002021723285695,0.6671,-0.0446,1.1628,0.0,ASSIST,,,,,,,,,14918.0,0.0,5.0,0.4870998854788752,,0,"[-1.11022, -0.80123, -1.13507, -2.104, -1.1641, -0.83798, -0.98086]","[-1.75256, 1.31995, 1.63683, 2.11272, -0.74104, 0.20962, 2.80502]",-0.6328925926405808,0.005403038671242366,1.1627998219358713,0.13349880313174403,0.5422951926149383,0.8287965384404141,0.03450060141948357,-0.6329,0.0054,1.1628,0.0,0.4870998854788752,0.45289259264058085,sim,12265.0,0.0,2.0,,,"[0.6671, -0.0446, 1.1628]",,,,,
0.0579,reach,,,,,,,,,,,,0.6670998852786965,-0.04459847504869274,1.1627970729953745,-0.0896037312399359,0.48601956797122975,0.8693364766320553,0.0032002021662228806,0.6671,-0.0446,1.1378,0.0,ASSIST,,,,,,,,,14920.0,0.0,5.0,0.4870998854788752,,0,"[-1.11021, -0.80124, -1.1351, -2.104, -1.16408, -0.83795, -0.98087]","[-1.75256, 1.31999, 1.63688, 2.11272, -0.74124, 0.20966, 2.80521]",-0.632892597497454,0.00540303722061819,1.1627998204602226,0.1334988021445135,0.5422951924316325,0.8287965387597401,0.034500600449749716,-0.6329,0.0054,1.1378,0.0,0.4870998854788752,0.452892597497454,sim,12267.0,0.0,2.0,,,"[0.6671, -0.0446, 1.1378]",,,,,
0.1113,reach,,,,,,,,,,,,0.667201587121534,-0.044546120108297504,1.160495004706418,-0.08949696812788009,0.48601299988664065,0.869350723232555,0.00331310309810802,0.6671,-0.0446,1.1128,0.0,ASSIST,,,,,,,,,14921.0,0.0,5.0,0.48709988527869647,,0,"[-1.11256, -0.81228, -1.11934, -2.0823, -1.14018, -0.85166, -0.9947]","[-1.75558, 1.33418, 1.64174, 2.102, -0.74261, 0.22766, 2.79625]",-0.6328999969366007,0.005399997221579966,1.16279999717238,0.1334992497915011,0.5422969564618638,0.8287953453070913,0.03449981035607339,-0.6329,0.0054,1.1128,0.0,0.48709988527869647,0.452892597497454,sim,12268.0,0.0,2.0,,,"[0.6671, -0.0446, 1.1128]",,,,,
0.1678,reach,,,,,,,,,,,,0.6677522111435288,-0.044257295205188896,1.1443998837984188,-0.08892082751321609,0.4859795753235143,0.869425934093663,0.0039349622746938885,0.6671,-0.0446,1.0878,0.0,ASSIST,,,,,,,,,14922.0,0.0,5.0,0.487201587121534,,0,"[-1.11615, -0.82645, -1.09951, -2.05334, -1.11113, -0.86997, -1.01189]","[-1.76022, 1.35747, 1.64991, 2.08329, -0.74416, 0.25791, 2.78055]",-0.6332640058385359,0.005712953289349787,1.1513570972688383,0.13368914086812714,0.5423806712903537,0.8287193684425301,0.03427286671378971,-0.6329,0.0054,1.0878,0.0,0.487201587121534,0.4528999969366007,sim,12269.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0878]",,,,,
0.2213,reach,,,,,,,,,,,,0.6677522111435288,-0.044257295205188896,1.1443998837984188,-0.08892082751321609,0.4859795753235143,0.869425934093663,0.0039349622746938885,0.6671,-0.0446,1.0628,0.0,ASSIST,,,,,,,,,14923.0,0.0,5.0,0.4877522111435288,,0,"[-1.12081, -0.84282, -1.07729, -2.0189, -1.07945, -0.89164, -1.03109]","[-1.76482, 1.38391, 1.65963, 2.05943, -0.74473, 0.29396, 2.7607]",-0.6332640058385359,0.005712953289349787,1.1513570972688383,0.13368914086812714,0.5423806712903537,0.8287193684425301,0.03427286671378971,-0.6329,0.0054,1.0628,0.0,0.4877522111435288,0.45326400583853593,sim,12270.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,,,,
0.278,reach,,,,,,,,,,,,0.6683312128291634,-0.043951908910259574,1.1279215676382877,-0.08831824137185092,0.4859492011510875,0.8695010373359996,0.00460523758606111,0.6671,-0.0446,1.0628,0.0,ASSIST,,,,,,,,,14924.0,0.0,5.0,0.4883312128291634,,0,"[-1.12496, -0.85529, -1.06149, -1.99158, -1.05782, -0.90858, -1.04487]","[-1.76771, 1.40302, 1.66691, 2.04026, -0.74436, 0.32123, 2.74492]",-0.6339444469243242,0.00629157575474637,1.1393438670631177,0.13406740366629483,0.5426413437208067,0.8285058447960718,0.033828516044950734,-0.6329,0.0054,1.0628,0.0,0.4883312128291634,0.4539444469243242,sim,12271.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,,,,
0.3304,reach,,,,,,,,,,,,0.6692788384711558,-0.04345445290073119,1.1130882958299724,-0.0873305638455872,0.4859012332442105,0.8696210550414111,0.00570830787802261,0.6671,-0.0446,1.0628,0.0,ASSIST,,,,,,,,,14925.0,0.0,5.0,0.4883312128291634,,0,"[-1.12949, -0.86837, -1.04472, -1.9626, -1.03537, -0.92665, -1.05923]","[-1.77054, 1.42287, 1.67452, 2.01945, -0.7435, 0.3501, 2.72773]",-0.6347902831072529,0.007003781426139,1.128043000778095,0.13456321642331312,0.5430621285287035,0.8281718146650038,0.03328228865569531,-0.6329,0.0054,1.0628,0.0,0.4883312128291634,0.4539444469243242,sim,12272.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,,,,
0.3813,reach,,,,,,,,,,,,0.669520539407259,-0.04332345829976003,1.0977557493775514,-0.08707718386518318,0.48590440829220394,0.8696425500651028,0.006025377048577025,0.6671,-0.0446,1.0628,0.0,ASSIST,,,,,,,,,14926.0,0.0,5.0,0.4892788384711558,,0,"[-1.13507, -0.88355, -1.02437, -1.9283, -1.00919, -0.94842, -1.07592]","[-1.77408, 1.44637, 1.68315, 1.99426, -0.74124, 0.38459, 2.70588]",-0.6353938480068633,0.0075029931298180585,1.1161176284746201,0.13493918465830246,0.5434428214966662,0.827873882334274,0.03295680743445739,-0.6329,0.0054,1.0628,0.0,0.4892788384711558,0.45479028310725295,sim,12273.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,,,,
0.4332,grasp,,,,,,,,,,,,0.6689710112780971,-0.04360236057549832,1.0827119977390876,-0.08763975345188287,0.48595056047734425,0.8695642207698973,0.005421470602111192,0.6671,-0.0446,1.0628,0.42352941176470593,ASSIST,,,,,,,,,14927.0,0.0,5.0,0.489520539407259,,0,"[-1.13996, -0.89551, -1.00701, -1.90034, -0.98842, -0.96673, -1.08907]","[-1.77706, 1.4659, 1.69023, 1.97321, -0.73905, 0.41331, 2.68737]",-0.6355603106365921,0.007637530184933294,1.10378663309726,0.1350815827443932,0.5436630877462391,0.8277058733627272,0.03296058595261752,-0.6329,0.0054,1.0628,0.0,0.489520539407259,0.4553938480068633,sim,12274.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,,,,
0.4879,grasp,,,,,,,,,,,,0.6689710112780971,-0.04360236057549832,1.0827119977390876,-0.08763975345188287,0.48595056047734425,0.8695642207698973,0.005421470602111192,0.6671,-0.0446,1.0628,0.42352941176470593,ASSIST,,,,,,,,,14928.0,0.0,5.0,0.4889710112780971,,0,"[-1.1445, -0.90529, -0.99137, -1.87639, -0.97123, -0.98298, -1.09988]","[-1.77986, 1.48433, 1.69694, 1.95336, -0.73708, 0.4404, 2.66999]",-0.6355603106365921,0.007637530184933294,1.10378663309726,0.1350815827443932,0.5436630877462391,0.8277058733627272,0.03296058595261752,-0.6329,0.0054,1.0628,0.0,0.4889710112780971,0.45556031063659214,sim,12275.0,0.0,2.0,,,"[0.6671, -0.0446, 1.0628]",,,,,
