person,landmark,u px,v px,visibility,range m
0,left shoulder,368,166,1,no depth
0,right shoulder,316,163,1,no depth
0,left elbow,388,192,0.977,no depth
0,right elbow,300,188,0.975,no depth
0,left wrist,394,190,0.962,no depth
0,right wrist,300,184,0.968,no depth
0,left hip,358,240,1,no depth
0,right hip,327,241,0.999,no depth
