#,range from camera m,height above the surface mm,x m,y m,z m
0,2.7015,2036,0.7356,-0.1212,2.5965
1,2.6092,1816,-0.061,0.0742,2.6075
2,3.7714,1207,0.7186,-1.2775,3.4749
3,3.3198,1198,-0.759,1.102,3.0382
4,4.0554,777.8,0.9002,-0.2561,3.9459
5,3.5974,836.7,-0.1955,-0.1331,3.5896
6,3.7079,857.7,0.2245,-0.3475,3.6847
7,3.7403,650,-0.4498,-0.0371,3.7129
8,4.5669,184.3,0.6928,-0.278,4.5055
9,3.582,863.4,-0.2457,0.5293,3.5342
