person,landmark,u px,v px,visibility,range m
0,left shoulder,364,170,1,4.632
0,right shoulder,333,172,0.998,no depth
0,left elbow,382,185,0.913,4.5753
0,right elbow,318,189,0.767,2.756
0,left wrist,375,176,0.855,4.6179
0,right wrist,321,189,0.583,2.781
0,left hip,361,240,0.997,no depth
0,right hip,344,240,0.994,2.768
