#,range from camera m,height above the surface mm,x m,y m,z m
0,3.5374,662.3,0.8973,-0.4109,3.397
1,3.109,115.1,-0.2863,-0.1794,3.0906
2,3.1396,204.1,-0.1309,-0.3497,3.1173
3,3.1989,80.8,-0.3073,-0.5254,3.1405
4,3.8923,51.4,0.5247,-0.0067,3.8568
5,4.2909,106.8,0.8078,-1.0105,4.0913
6,2.6339,91.3,-1.1831,-0.1094,2.3507
7,2.6336,91.3,-1.1842,-0.1094,2.3497
8,3.2083,64.8,-0.256,-0.2559,3.1879
9,4.0056,44.2,0.6354,0.1079,3.9534
