rank,area px,fraction of frame %
1,76164,24.793
2,75109,24.45
3,23863,7.768
4,19758,6.432
5,17289,5.628
6,10261,3.34
7,10037,3.267
8,9154,2.98
9,6033,1.964
10,4241,1.381
11,4023,1.31
12,3733,1.215
13,3443,1.121
14,3343,1.088
15,3145,1.024
16,2750,0.895
17,2741,0.892
18,2462,0.801
19,1585,0.516
20,1564,0.509
