t,wall,segment,left_cmd_x,left_cmd_y,left_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,left_ee_x,left_ee_y,left_ee_z,left_j1,left_j2,left_j3,left_j4,left_j5,left_j6,left_j7,left_ax,left_ay,left_az,left_clutch,left_scale,left_elev,left_azim,left_reach,left_valid,left_dropouts,left_elev_held,left_ik_success,left_ik_fail,left_ik_direct,left_ik_slewed,left_ik_rejected,right_cmd_x,right_cmd_y,right_cmd_z,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,right_ee_x,right_ee_y,right_ee_z,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,right_j7,right_ax,right_ay,right_az,right_clutch,right_scale,right_elev,right_azim,right_reach,right_valid,right_dropouts,right_elev_held,right_ik_success,right_ik_fail,right_ik_direct,right_ik_slewed,right_ik_rejected,fsr1,fsr2,btn1,btn2
0.0054,1785499026.7023,settle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0266,1785499026.7235,settle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0494,1785499026.7463,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15914376463064914,0.6521761314516895,1.245719462955646,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0712,1785499026.7681,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.15914376463064914,0.6521761314516895,1.245719462955646,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0921,1785499026.7891,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.15914376463064914,0.6521761314516895,1.245719462955646,,,,,,,,,,,,,,,,,,,183.0,0.0,183.0,0.0,0.0,,,,
0.1132,1785499026.8101,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.15914376463064914,0.6521761314516895,1.245719462955646,,,,,,,,,,,,,,,,,,,183.0,0.0,183.0,0.0,0.0,,,,
0.1365,1785499026.8334,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.15970959061882234,0.6521280645585411,1.2458295501277648,,,,,,,,,,,,,,,,,,,183.0,0.0,183.0,0.0,0.0,,,,
0.1576,1785499026.8545,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.15970959061882234,0.6521280645585411,1.2458295501277648,,,,,,,,,,,,,,,,,,,183.0,0.0,183.0,0.0,0.0,,,,
0.1788,1785499026.8758,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.15970959061882234,0.6521280645585411,1.2458295501277648,,,,,,,,,,,,,,,,,,,184.0,0.0,184.0,0.0,0.0,,,,
0.1999,1785499026.8968,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.15970959061882234,0.6521280645585411,1.2458295501277648,,,,,,,,,,,,,,,,,,,184.0,0.0,184.0,0.0,0.0,,,,
0.2229,1785499026.9198,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1597014180172844,0.6520757609357302,1.2458176416580522,,,,,,,,,,,,,,,,,,,184.0,0.0,184.0,0.0,0.0,,,,
0.2442,1785499026.9411,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1597014180172844,0.6520757609357302,1.2458176416580522,,,,,,,,,,,,,,,,,,,184.0,0.0,184.0,0.0,0.0,,,,
0.2651,1785499026.962,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1597014180172844,0.6520757609357302,1.2458176416580522,,,,,,,,,,,,,,,,,,,185.0,0.0,185.0,0.0,0.0,,,,
0.2858,1785499026.9828,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1597014180172844,0.6520757609357302,1.2458176416580522,,,,,,,,,,,,,,,,,,,185.0,0.0,185.0,0.0,0.0,,,,
0.3081,1785499027.0051,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1601513110939882,0.6520985857105668,1.2459557065518794,,,,,,,,,,,,,,,,,,,185.0,0.0,185.0,0.0,0.0,,,,
0.3294,1785499027.0264,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1601513110939882,0.6520985857105668,1.2459557065518794,,,,,,,,,,,,,,,,,,,185.0,0.0,185.0,0.0,0.0,,,,
0.351,1785499027.0479,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1601513110939882,0.6520985857105668,1.2459557065518794,,,,,,,,,,,,,,,,,,,186.0,0.0,186.0,0.0,0.0,,,,
0.372,1785499027.069,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1601513110939882,0.6520985857105668,1.2459557065518794,,,,,,,,,,,,,,,,,,,186.0,0.0,186.0,0.0,0.0,,,,
0.3945,1785499027.0914,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1601959222265484,0.6520950800355595,1.2459535684072038,,,,,,,,,,,,,,,,,,,186.0,0.0,186.0,0.0,0.0,,,,
0.4157,1785499027.1126,settle,,,,,,,,0.3627033226019269,0.40709185270805537,1.0171448981190263,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,-0.1601959222265484,0.6520950800355595,1.2459535684072038,,,,,,,,,,,,,,,,,,,186.0,0.0,186.0,0.0,0.0,,,,
