area px,points,top mm,median height mm,box x,box y,box w,box h
90395,61806,70.6,35.3,108,99,604,282
31799,21830,63,39.8,571,227,229,187
576,432,10.5,6.7,16,269,74,33
194,170,6.9,5.5,716,137,72,5
