rank,area px,fraction of frame %
1,82781,26.947
2,70421,22.924
3,27250,8.87
4,23858,7.766
5,17688,5.758
6,14558,4.739
7,10195,3.319
8,9964,3.243
9,9483,3.087
10,8377,2.727
11,5713,1.86
12,4226,1.376
13,4138,1.347
14,3737,1.216
15,3365,1.095
16,3221,1.049
17,3197,1.041
18,2723,0.886
19,2700,0.879
20,2517,0.819
