#,range from camera m,height above the surface mm,x m,y m,z m
0,1.8092,1202,-0.5762,0.0663,1.7137
1,1.7571,980.7,0.0941,0.0654,1.7534
2,2.7898,35.5,-0.0572,0.1178,2.7867
3,2.4343,345.1,0.5843,-0.8622,2.2002
4,2.2219,779.7,-0.4109,-0.7875,2.0367
5,2.0396,779.7,-0.0058,-0.6528,1.9323
6,2.8095,13.6,0.0174,-0.6997,2.721
7,2.7727,37.4,0.032,0.1949,2.7656
8,2.7885,29.7,-0.0816,-0.0354,2.7871
9,2.7618,29,-0.0086,-0.3081,2.7445
