participant,session,experiment,block,trial_index,condition,scenario,target_id,arm,completion_time_s,grasp_success,positioning_error_m,failed_attempts,path_length_m,straight_line_m,path_ratio,time_to_handover_s,intervention_count,correction_time_s,fitts_distance_m,fitts_width_m,fitts_id_bits,fitts_movement_time_s,assist_entered,assist_cancelled,assist_duration_s,intent_correct_at_handover,intent_switches,valid,invalid_reason,dropout_fraction,estop_events,nasa_tlx_mental,nasa_tlx_physical,nasa_tlx_temporal,nasa_tlx_performance,nasa_tlx_effort,nasa_tlx_frustration,nasa_tlx_raw,trust_scale,fatigue_borg,wall_clock
PILOT,20260805_040528,e3_divided_attention,0,0,direct|single_task,near_pair,tag_0,left,2.62,1,0.0,0,0.2953,0.2953,1.0,0.3848,0,0.0,,,,,1,0,2.2352,1,0,1,,0.0,0,,,,,,,,,,2026-08-05T04:05:30
PILOT,20260805_040528,e3_divided_attention,0,1,direct|single_task,mid_single,tag_0,left,1.4576,1,0.0,0,0.15569,0.38471,0.4047,0.0619,1,0.0,,,,,1,1,1.3957,1,0,1,,0.0,0,,,,,,,,,,2026-08-05T04:05:33
PILOT,20260805_040528,e3_divided_attention,0,2,direct|single_task,near_pair,tag_0,left,0.5967,1,0.0,0,0.05381,0.2953,0.1822,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T04:05:35
PILOT,20260805_040528,e3_divided_attention,0,3,direct|single_task,mid_single,tag_0,left,1.4574,1,0.0,0,0.15569,0.38471,0.4047,,0,0.0,,,,,0,0,0.0,,1,1,,0.0,0,,,,,,,,,,2026-08-05T04:05:36
PILOT,20260805_040528,e3_divided_attention,0,4,direct|single_task,near_pair,tag_0,left,0.5962,1,0.0,0,0.05381,0.2953,0.1822,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T04:05:38
PILOT,20260805_040528,e3_divided_attention,0,5,direct|single_task,mid_single,tag_0,left,1.4574,1,0.0,0,0.15569,0.38471,0.4047,,0,0.0,,,,,0,0,0.0,,1,1,,0.0,0,,,,,,,,,,2026-08-05T04:05:39
PILOT,20260805_040528,e3_divided_attention,1,6,full_auto|single_task,mid_single,tag_0,left,0.6572,1,0.0,0,0.06,0.38471,0.156,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T04:05:41
PILOT,20260805_040528,e3_divided_attention,1,7,full_auto|single_task,near_pair,tag_0,left,0.5982,1,0.0,0,0.05381,0.2953,0.1822,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T04:05:42
