colour term,pixels,fraction of frame %
white,238327,25.8601
orange,38505,4.1781
green,32102,3.4833
black,10822,1.1743
red,8734,0.9477
blue,452,0.049
cyan,60,0.0065
purple,60,0.0065
yellow,0,0
magenta,0,0
pink,0,0
