#,range from camera m,height above the surface mm,x m,y m,z m
0,0.6076,32.1,-0.0856,0.0633,0.5982
1,0.4514,26.2,-0.1056,0.1262,0.4203
2,0.6743,32.1,-0.121,0.0372,0.6623
3,0.6435,25.8,-0.0192,0.0649,0.6399
4,0.3936,81.9,0.144,0.126,0.3439
5,0.4063,67,0.1528,0.1413,0.349
6,0.6577,110.4,0.2155,0.0127,0.6212
7,0.8966,111.9,0.3379,-0.042,0.8295
8,0.6134,103.7,0.2009,0.0321,0.5787
9,0.3976,81.7,0.1491,0.126,0.3464
