object A,object B,centre to centre m,free gap m
0,1,0.1897,0.0914
0,2,0.0777,0
0,3,0.0785,0
0,4,0.3483,0.2451
0,5,0.3536,0.2553
0,6,0.3062,0.1542
0,7,0.4938,0.364
0,8,0.2889,0.1246
0,9,0.3499,0.2522
1,2,0.2583,0.1175
1,3,0.2438,0.1786
1,4,0.261,0.2514
1,5,0.2684,0.2638
1,6,0.3954,0.337
1,7,0.6263,0.5901
1,8,0.3576,0.2869
1,9,0.2652,0.261
2,3,0.1079,0
2,4,0.4237,0.2779
2,5,0.4289,0.2881
2,6,0.3399,0.1454
2,7,0.4947,0.3224
2,8,0.3326,0.1259
2,9,0.425,0.2848
3,4,0.3435,0.2734
3,5,0.3464,0.2814
3,6,0.2412,0.1223
3,7,0.4181,0.3214
3,8,0.2308,0.0997
3,9,0.3438,0.2792
4,5,0.0184,0.0088
4,6,0.308,0.2447
4,7,0.5491,0.508
4,8,0.2592,0.1836
4,9,0.0057,0
5,6,0.3075,0.2493
5,7,0.5465,0.5103
5,8,0.2588,0.1883
5,9,0.0159,0.0119
6,7,0.2476,0.1577
6,8,0.049,0
6,9,0.3046,0.2469
7,8,0.2952,0.193
7,9,0.5452,0.5095
8,9,0.2559,0.1858
