rank,area px,fraction of frame %
1,437571,47.479
2,409802,44.466
3,104883,11.381
4,85807,9.311
5,37548,4.074
6,34725,3.768
7,34532,3.747
8,31556,3.424
9,30065,3.262
10,20363,2.21
11,17653,1.915
12,17648,1.915
13,14002,1.519
14,11846,1.285
15,10717,1.163
16,10265,1.114
17,9550,1.036
18,8776,0.952
19,5769,0.626
20,5596,0.607
