#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,5744,104883,-0.048,-0.0237,0.6958,0.6978,360.4,276.7,67,58,no
1,1198,34532,0.0559,0.0224,0.5375,0.5408,101.3,26.4,59.7,150,yes
2,107,10265,-0.3101,0.0215,0.7708,0.8311,198.7,47.5,58,48,yes
3,70,14002,-0.1724,-0.0445,0.8276,0.8465,48.9,6.5,60.8,119.8,yes
4,37,5769,-0.2413,0.0267,0.709,0.7495,28.1,6.2,63.7,25.8,yes
