object A,object B,centre to centre m,free gap m
0,1,0.1948,0.0433
0,2,0.2763,0.1143
0,3,0.1824,0.0409
0,4,0.2003,0.0588
1,2,0.434,0.3971
1,3,0.3751,0.3587
1,4,0.3432,0.3269
2,3,0.1629,0.1359
2,4,0.0926,0.0657
3,4,0.1545,0.1482
