#,range from camera m,height above the surface mm,x m,y m,z m
0,0.6978,33.5,-0.048,-0.0237,0.6958
1,0.5408,29.9,0.0559,0.0224,0.5375
2,0.8311,29,-0.3101,0.0215,0.7708
3,0.8465,30.4,-0.1724,-0.0445,0.8276
4,0.7495,31.8,-0.2413,0.0267,0.709
