colour term,pixels,fraction of frame %
white,299807,32.5311
black,191057,20.731
cyan,45796,4.9692
red,10137,1.0999
green,535,0.0581
yellow,440,0.0477
orange,419,0.0455
blue,234,0.0254
purple,0,0
magenta,0,0
pink,0,0
