rank,area px,fraction of frame %
1,239438,25.981
2,228544,24.799
3,131805,14.302
4,84330,9.15
5,77587,8.419
6,44638,4.844
7,36254,3.934
8,26074,2.829
9,25470,2.764
10,23990,2.603
11,23597,2.56
12,22111,2.399
13,18478,2.005
14,17423,1.891
15,16204,1.758
16,15030,1.631
17,13508,1.466
18,12818,1.391
19,12519,1.358
20,11679,1.267
