colour term,pixels,fraction of frame %
white,283537,30.7657
black,201828,21.8997
cyan,45512,4.9384
red,9295,1.0086
green,574,0.0623
orange,496,0.0538
yellow,399,0.0433
blue,135,0.0146
purple,0,0
magenta,0,0
pink,0,0
