person,landmark,u px,v px,visibility,range m
0,left shoulder,714,254,1,no depth
0,right shoulder,635,245,1,no depth
0,left elbow,749,293,0.982,no depth
0,right elbow,613,286,0.977,no depth
0,left wrist,737,264,0.988,no depth
0,right wrist,610,280,0.985,no depth
0,left hip,700,364,1,no depth
0,right hip,649,365,1,no depth
