colour term,pixels,fraction of frame %
black,55580,18.0924
white,30277,9.8558
cyan,10802,3.5163
orange,4798,1.5618
green,2780,0.9049
red,0,0
yellow,0,0
blue,0,0
purple,0,0
magenta,0,0
pink,0,0
