colour term,pixels,fraction of frame %
white,280424,30.428
orange,76600,8.3116
black,58731,6.3727
cyan,39501,4.2861
blue,24593,2.6685
green,12303,1.335
red,11681,1.2675
purple,227,0.0246
yellow,0,0
magenta,0,0
pink,0,0
