object A,object B,centre to centre m,free gap m
0,1,0.1934,0.0959
0,2,0.0731,0
0,3,0.0809,0
0,4,0.3556,0.2576
0,5,0.3561,0.2585
0,6,0.3066,0.1564
0,7,0.496,0.3672
0,8,0.3532,0.2565
0,9,0.204,0.106
1,2,0.2572,0.1187
1,3,0.2477,0.1826
1,4,0.2673,0.2625
1,5,0.2672,0.2628
1,6,0.3959,0.3388
1,7,0.6307,0.595
1,8,0.2653,0.2618
1,9,0.0984,0.0936
2,3,0.109,0
2,4,0.4266,0.2878
2,5,0.4274,0.2889
2,6,0.3399,0.1487
2,7,0.4981,0.3284
2,8,0.4242,0.2867
2,9,0.2462,0.1073
3,4,0.3481,0.2826
3,5,0.348,0.2827
3,6,0.2395,0.1216
3,7,0.4182,0.3217
3,8,0.3458,0.2815
3,9,0.2779,0.2122
4,5,0.0148,0.01
4,6,0.3067,0.2492
4,7,0.5514,0.5153
4,8,0.0025,0
4,9,0.3647,0.3594
5,6,0.3088,0.2516
5,7,0.5524,0.5167
5,8,0.0156,0.0121
5,9,0.3651,0.3602
6,7,0.252,0.1636
6,8,0.3052,0.2491
6,9,0.465,0.4074
7,8,0.5502,0.5155
7,9,0.686,0.6498
8,9,0.3627,0.3587
