colour term,pixels,fraction of frame %
white,234609,25.4567
orange,42731,4.6366
green,31055,3.3697
black,9772,1.0603
red,8181,0.8877
purple,431,0.0468
blue,173,0.0188
yellow,0,0
cyan,0,0
magenta,0,0
pink,0,0
