rank,area px,fraction of frame %
1,226386,24.564
2,224410,24.35
3,127933,13.882
4,79590,8.636
5,77749,8.436
6,45614,4.949
7,28404,3.082
8,26226,2.846
9,26054,2.827
10,23965,2.6
11,21958,2.383
12,17834,1.935
13,15580,1.691
14,15390,1.67
15,13620,1.478
16,13257,1.438
17,13227,1.435
18,12524,1.359
19,12474,1.354
20,11395,1.236
