colour term,pixels,fraction of frame %
white,299632,32.5122
black,192220,20.8572
cyan,45567,4.9443
red,9795,1.0628
green,507,0.055
yellow,493,0.0535
orange,338,0.0367
blue,281,0.0305
purple,0,0
magenta,0,0
pink,0,0
