rank,area px,fraction of frame %
1,247200,26.823
2,190105,20.628
3,167586,18.184
4,98342,10.671
5,77764,8.438
6,60227,6.535
7,51118,5.547
8,37571,4.077
9,30286,3.286
10,27913,3.029
11,27685,3.004
12,21620,2.346
13,17828,1.934
14,17790,1.93
15,16773,1.82
16,16575,1.799
17,13100,1.421
18,9420,1.022
19,8528,0.925
20,8184,0.888
