rank,area px,fraction of frame %
1,75485,24.572
2,69938,22.766
3,50177,16.334
4,45012,14.652
5,26768,8.714
6,23878,7.773
7,13369,4.352
8,10003,3.256
9,9892,3.22
10,9445,3.075
11,9173,2.986
12,6609,2.151
13,5594,1.821
14,5548,1.806
15,4534,1.476
16,3613,1.176
17,3448,1.122
18,3429,1.116
19,3388,1.103
20,3347,1.09
