rank,area px,fraction of frame %
1,74681,24.31
2,74509,24.254
3,23979,7.806
4,17238,5.611
5,10252,3.337
6,10010,3.258
7,9198,2.994
8,8399,2.734
9,6165,2.007
10,4235,1.379
11,4027,1.311
12,3748,1.22
13,3383,1.101
14,3334,1.085
15,3011,0.98
16,2735,0.89
17,2671,0.869
18,2480,0.807
19,2296,0.747
20,1564,0.509
