rank,area px,fraction of frame %
1,265469,28.805
2,225483,24.466
3,133594,14.496
4,82409,8.942
5,77864,8.449
6,44802,4.861
7,35199,3.819
8,29948,3.25
9,26433,2.868
10,26138,2.836
11,24316,2.638
12,24023,2.607
13,22018,2.389
14,18186,1.973
15,18010,1.954
16,16746,1.817
17,16071,1.744
18,13025,1.413
19,12980,1.408
20,12584,1.365
