person,landmark,u px,v px,visibility,range m
0,left shoulder,714,256,1,no depth
0,right shoulder,637,247,1,no depth
0,left elbow,738,297,0.98,no depth
0,right elbow,621,296,0.947,no depth
0,left wrist,739,269,0.984,no depth
0,right wrist,611,281,0.971,no depth
0,left hip,702,365,1,no depth
0,right hip,651,366,0.999,no depth
