session,duration_s,messages,topics,live_topics,dead_topics,size_mb,files,status,dead_list
christian_multimeter_masterdirect_20260902_110444,0.0,0,0,0,0,0.0,2,FAULT: no messages recorded,
christian_multimeter_mastershared_20260902_110933,0.0,0,0,0,0,0.0,2,FAULT: no messages recorded,
christian_objecttrackingdirect_20260902_114001,154.3,128401,32,29,3,96.28,2,OK,/estop;/left_gripper_controller/joint_trajectory;/mount_guard
christian_objecttrackingdirect_20260902_114249,145.9,118022,32,28,4,90.32,2,OK,/estop;/left_gripper_controller/joint_trajectory;/mount_guard;/right_gripper_controller/joint_trajectory
christian_targetreachinng_20260902_111739,0.0,0,0,0,0,0.0,2,FAULT: no messages recorded,
christian_targetreachinngshared_20260902_112652,0.0,0,0,0,0,0.0,2,FAULT: no messages recorded,
chritstian_objectreaching_20260902_113502,0.0,0,0,0,0,0.0,2,FAULT: no messages recorded,
jorge_multimeter_20260902_135758,0.0,0,0,0,0,0.0,2,FAULT: no messages recorded,
jorge_multimetesharedr_20260902_140023,0.0,0,0,0,0,0.0,2,FAULT: no messages recorded,
jorge_objecttrackingdirect_20260902_132710,111.0,88208,32,29,3,67.0,2,OK,/estop;/left_gripper_controller/joint_trajectory;/mount_guard
jorge_objecttrackingshared_20260902_132941,71.7,60052,32,28,4,45.07,2,OK,/estop;/left_gripper_controller/joint_trajectory;/mount_guard;/right_gripper_controller/joint_trajectory
jorge_targetreachingdirect_20260902_133239,303.9,245491,32,30,2,187.15,2,OK,/estop;/mount_guard
jorge_targetreachingshared_20260902_134510,83.6,59215,32,29,3,49.9,2,OK,/estop;/left_gripper_controller/joint_trajectory;/mount_guard
jorge_targetreachingshared_20260902_135048,206.4,129308,32,24,8,120.04,2,FAULT: a master arm is silent,/estop;/left_gripper_controller/joint_trajectory;/master_arm_pose_right;/master_arm_raw_right;/master_status_right;/mount_guard;/right_arm_controller/joint_trajectory;/right_gripper_controller/joint_trajectory
master_teleop_20260902_093707,0.5,316,27,24,3,0.25,2,FAULT: shorter than 5 s,/estop;/master_teleop/status;/mount_guard
testa_20260902_093724,46.6,37592,32,28,4,28.87,2,OK,/estop;/left_gripper_controller/joint_trajectory;/mount_guard;/right_gripper_controller/joint_trajectory
