rank,area px,fraction of frame %
1,455688,49.445
2,429594,46.614
3,106510,11.557
4,102717,11.146
5,37971,4.12
6,34575,3.752
7,31899,3.461
8,29979,3.253
9,20045,2.175
10,17470,1.896
11,15578,1.69
12,14110,1.531
13,12095,1.312
14,10833,1.175
15,10704,1.161
16,10140,1.1
17,9484,1.029
18,9071,0.984
19,7121,0.773
20,5828,0.632
