colour term,pixels,fraction of frame %
white,234039,25.3949
orange,46950,5.0944
green,31114,3.3761
black,11172,1.2122
red,6977,0.7571
blue,138,0.015
purple,120,0.013
yellow,0,0
cyan,0,0
magenta,0,0
pink,0,0
