#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,5829,106510,-0.0972,0.0011,0.6715,0.6785,340.8,277,67.1,0,no
1,1198,34575,0.0545,0.0252,0.5321,0.5355,92.3,21.7,59.7,144,yes
2,89,10140,-0.3119,0.0202,0.7743,0.835,207.2,34,58.6,42.5,yes
3,82,10833,-0.3116,0.0212,0.7747,0.8353,207.2,34,56.2,42.5,yes
4,71,14110,-0.1725,-0.0446,0.8284,0.8474,48.9,7.1,60.6,123,yes
5,36,5828,-0.2409,0.0275,0.7087,0.749,26.4,6.2,62.4,25.8,yes
