colour term,pixels,fraction of frame %
white,281510,30.5458
orange,54622,5.9269
black,54571,5.9213
blue,44494,4.8279
cyan,36292,3.9379
red,16942,1.8383
green,12415,1.3471
purple,54,0.0059
yellow,0,0
magenta,0,0
pink,0,0
