object A,object B,centre to centre m,free gap m
0,1,0.2074,0.0581
0,2,0.2388,0.0833
0,3,0.2388,0.0833
0,4,0.18,0.0379
0,5,0.1507,0.0092
1,2,0.4392,0.4114
1,3,0.4392,0.4114
1,4,0.3797,0.3654
1,5,0.3441,0.3302
2,3,0.0012,0
2,4,0.163,0.1425
2,5,0.097,0.0769
3,4,0.163,0.1425
3,5,0.097,0.0769
4,5,0.1556,0.149
