#,range from camera m,height above the surface mm,x m,y m,z m
0,0.6785,33.5,-0.0972,0.0011,0.6715
1,0.5355,29.9,0.0545,0.0252,0.5321
2,0.835,29.3,-0.3119,0.0202,0.7743
3,0.8353,28.1,-0.3116,0.0212,0.7747
4,0.8474,30.3,-0.1725,-0.0446,0.8284
5,0.749,31.2,-0.2409,0.0275,0.7087
