rank,area px,fraction of frame %
1,265965,28.859
2,190490,20.669
3,167442,18.169
4,98408,10.678
5,80549,8.74
6,60426,6.557
7,52270,5.672
8,48944,5.311
9,37150,4.031
10,35720,3.876
11,27723,3.008
12,27604,2.995
13,27514,2.985
14,21992,2.386
15,19408,2.106
16,17342,1.882
17,16688,1.811
18,13034,1.414
19,9558,1.037
20,8370,0.908
