colour term,pixels,fraction of frame %
white,301606,32.7263
black,194407,21.0945
cyan,45917,4.9823
red,9148,0.9926
green,555,0.0602
yellow,475,0.0515
orange,407,0.0442
blue,301,0.0327
purple,0,0
magenta,0,0
pink,0,0
