t,wall,sim_left_j1,sim_left_j2,sim_left_j3,sim_left_j4,sim_left_j5,sim_left_j6,sim_left_j7,real_left_j1,real_left_j2,real_left_j3,real_left_j4,real_left_j5,real_left_j6,real_left_j7,master_left_x,master_left_y,master_left_z,master_left_qx,master_left_qy,master_left_qz,master_left_qw,cmd_left_x,cmd_left_y,cmd_left_z,sim_left_fresh,real_left_fresh,master_left_fresh,sim_right_j1,sim_right_j2,sim_right_j3,sim_right_j4,sim_right_j5,sim_right_j6,sim_right_j7,real_right_j1,real_right_j2,real_right_j3,real_right_j4,real_right_j5,real_right_j6,real_right_j7,master_right_x,master_right_y,master_right_z,master_right_qx,master_right_qy,master_right_qz,master_right_qw,cmd_right_x,cmd_right_y,cmd_right_z,sim_right_fresh,real_right_fresh,master_right_fresh,vr_left_engaged,vr_left_grip,vr_left_refused,vr_left_disp_m,vr_left_lag_m,vr_left_cutoff_hz,vr_left_tracked,vr_left_fresh,vr_right_engaged,vr_right_grip,vr_right_refused,vr_right_disp_m,vr_right_lag_m,vr_right_cutoff_hz,vr_right_tracked,vr_right_fresh,estop,n_detections,autonomy_left,autonomy_right
0.2872,1788063348.2058,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,1,1,1,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.3263676186156754,-1.1794698383219993,0.6047602742941449,-0.5484466012009561,2.677595955819686,1.2378820157751433,2.7231647725998136,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,1,1,1,0,0,,,,,1,1,0,0,,,,,1,1,,0,,
0.3414,1788063348.26,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,1,0,1,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.3263676186156754,-1.1794698383219993,0.6047602742941449,-0.5484466012009561,2.677595955819686,1.2378820157751433,2.7231647725998136,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,1,0,1,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.3864,1788063348.305,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,1,1,1,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.326376939679491,-1.1794868825529758,0.6048236575280889,-0.5483794895414862,2.6776167284761883,1.2379315505714188,2.723114172539102,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,1,1,1,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.4401,1788063348.3587,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,1,0,1,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.326376939679491,-1.1794868825529758,0.6048236575280889,-0.5483794895414862,2.6776167284761883,1.2379315505714188,2.723114172539102,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,1,0,1,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.4987,1788063348.4173,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,1,1,1,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.32638785863996,-1.1795039267839522,0.6049186657999774,-0.5483464663439692,2.6776244516433496,1.2380599149359606,2.723111243061903,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,1,1,0,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.5376,1788063348.4562,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,1,0,1,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.32638785863996,-1.1795039267839522,0.6049186657999774,-0.5483464663439692,2.6776244516433496,1.2380599149359606,2.723111243061903,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,1,0,1,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.5849,1788063348.5035,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,1,0,0,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.32638785863996,-1.1795039267839522,0.6049186657999774,-0.5483464663439692,2.6776244516433496,1.2380599149359606,2.723111243061903,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,1,0,1,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.6352,1788063348.5538,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,0,0,0,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.32638785863996,-1.1795039267839522,0.6049186657999774,-0.5483464663439692,2.6776244516433496,1.2380599149359606,2.723111243061903,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,0,0,0,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.6861,1788063348.6047,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,0,0,0,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.32638785863996,-1.1795039267839522,0.6049186657999774,-0.5483464663439692,2.6776244516433496,1.2380599149359606,2.723111243061903,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,0,0,0,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.7358,1788063348.6544,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,0,0,0,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.32638785863996,-1.1795039267839522,0.6049186657999774,-0.5483464663439692,2.6776244516433496,1.2380599149359606,2.723111243061903,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,0,0,0,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.7848,1788063348.7034,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,0,0,0,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.32638785863996,-1.1795039267839522,0.6049186657999774,-0.5483464663439692,2.6776244516433496,1.2380599149359606,2.723111243061903,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,0,0,0,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
0.8429,1788063348.7615,0.3231170479828922,1.3410650281134209,-2.6150698631376166,-0.7795650143381726,-2.012200144398628,0.863600252036745,-0.9758684292018778,,,,,,,,0.560985,0.407878,1.005134,-0.558328,0.820791,0.067049,0.100385,,,,0,0,0,2.328029083664717,-1.1809750709597113,0.6057162233910107,-0.5501865108559412,2.6764972270569225,1.2378641383803346,2.7215432913229494,2.32638785863996,-1.1795039267839522,0.6049186657999774,-0.5483464663439692,2.6776244516433496,1.2380599149359606,2.723111243061903,-0.653229,0.30873,0.908805,0.534189,0.618751,0.443261,0.367845,,,,0,0,0,0,0,,,,,1,0,0,0,,,,,1,0,,0,,
