rank,area px,fraction of frame %
1,251248,27.262
2,203250,22.054
3,166324,18.047
4,99837,10.833
5,78915,8.563
6,60470,6.561
7,52507,5.697
8,49110,5.329
9,37019,4.017
10,27698,3.005
11,27695,3.005
12,25580,2.776
13,22071,2.395
14,19729,2.141
15,17506,1.9
16,17189,1.865
17,16739,1.816
18,13096,1.421
19,9119,0.989
20,8987,0.975
