#,range from camera m,height above the surface mm,x m,y m,z m
0,0.608,32,-0.0832,0.0631,0.5989
1,0.4524,25.6,-0.106,0.1263,0.4213
2,0.6708,31.9,-0.115,0.0385,0.6598
3,0.6445,26.2,-0.0185,0.0638,0.641
4,0.3971,81.4,0.1507,0.127,0.3447
5,0.4064,66.7,0.1528,0.1415,0.349
6,0.6532,110.3,0.2169,0.0143,0.6159
7,0.898,111.4,0.339,-0.0424,0.8304
8,0.3977,81.5,0.1489,0.126,0.3466
9,0.4962,22.5,-0.2003,0.1106,0.4403
