participant,session,experiment,block,trial_index,condition,scenario,target_id,arm,completion_time_s,grasp_success,positioning_error_m,failed_attempts,path_length_m,straight_line_m,path_ratio,time_to_handover_s,intervention_count,correction_time_s,fitts_distance_m,fitts_width_m,fitts_id_bits,fitts_movement_time_s,assist_entered,assist_cancelled,assist_duration_s,intent_correct_at_handover,intent_switches,valid,invalid_reason,dropout_fraction,estop_events,nasa_tlx_mental,nasa_tlx_physical,nasa_tlx_temporal,nasa_tlx_performance,nasa_tlx_effort,nasa_tlx_frustration,nasa_tlx_raw,trust_scale,fatigue_borg,wall_clock
FAULTTEST,20260805_172908,e2_autonomy_level,0,0,direct,near_single,tag_0,left,2.2031,1,0.0,0,0.24495,0.24495,1.0,,0,0.0,,,,,0,0,0.0,,1,1,,0.0,0,,,,,,,,,,2026-08-05T17:29:11
FAULTTEST,20260805_172908,e2_autonomy_level,0,1,direct,near_pair,tag_0,left,1.0929,1,0.0,0,0.1126,0.2953,0.3813,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T17:29:13
FAULTTEST,20260805_172908,e2_autonomy_level,0,2,direct,far_single,tag_0,left,2.5221,1,0.0,0,0.28268,0.51029,0.554,,0,0.0,,,,,0,0,0.0,,0,0,"aborted mid-trial: link DOWN to right -- BOTH arms frozen, because one arm live and one frozen on a wearer is worse than both frozen and cannot be told apart by looking",0.0,1,,,,,,,,,,2026-08-05T17:29:15
FAULTTEST,20260805_172908,e2_autonomy_level,0,3,direct,mid_single,tag_0,left,0.7272,1,0.0,0,0.06968,0.38471,0.1811,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T17:29:18
FAULTTEST,20260805_172908,e2_autonomy_level,0,4,direct,near_pair,tag_0,left,0.5951,1,0.0,0,0.05381,0.2953,0.1822,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T17:29:19
FAULTTEST,20260805_172908,e2_autonomy_level,0,5,direct,near_single,tag_0,left,0.4048,1,0.0,0,0.02496,0.24495,0.1019,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T17:29:20
FAULTTEST,20260805_172908,e2_autonomy_level,0,6,direct,mid_single,tag_0,left,1.825,1,0.0,0,0.20064,0.38471,0.5215,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T17:29:21
FAULTTEST,20260805_172908,e2_autonomy_level,0,7,direct,far_single,tag_0,left,1.7157,1,0.0,0,0.18701,0.51029,0.3665,,0,0.0,,,,,0,0,0.0,,0,1,,0.0,0,,,,,,,,,,2026-08-05T17:29:23
