participant,session,experiment,block,trial_index,condition,scenario,target_id,arm,completion_time_s,grasp_success,positioning_error_m,failed_attempts,path_length_m,straight_line_m,path_ratio,time_to_handover_s,intervention_count,correction_time_s,fitts_distance_m,fitts_width_m,fitts_id_bits,fitts_movement_time_s,assist_entered,assist_cancelled,assist_duration_s,intent_correct_at_handover,intent_switches,valid,invalid_reason,dropout_fraction,estop_events,nasa_tlx_mental,nasa_tlx_physical,nasa_tlx_temporal,nasa_tlx_performance,nasa_tlx_effort,nasa_tlx_frustration,nasa_tlx_raw,trust_scale,fatigue_borg,wall_clock
FAULTTEST,20260805_173033,e6_vr_vs_mannequin,0,0,mannequin_direct,tilted_60,tag_0,left,12.0353,1,0.0,0,1.42595,0.35567,4.0092,,0,0.0,,,,,0,0,0.0,,1,0,"rig fault, whole session",0.0,0,,,,,,,,,,2026-08-05T17:30:35
FAULTTEST,20260805_173033,e6_vr_vs_mannequin,0,1,mannequin_direct,inverted,tag_0,left,0.6481,1,0.0,0,0.06,0.35567,0.1687,,0,0.0,,,,,0,0,0.0,,0,0,"rig fault, whole session",0.0,0,,,,,,,,,,2026-08-05T17:30:47
FAULTTEST,20260805_173033,e6_vr_vs_mannequin,0,2,mannequin_direct,side_facing,tag_0,left,0.6551,1,0.0,0,0.06,0.35567,0.1687,,0,0.0,,,,,0,0,0.0,,0,0,"aborted mid-trial: link DOWN to right -- BOTH arms frozen, because one arm live and one frozen on a wearer is worse than both frozen and cannot be told apart by looking",0.0,1,,,,,,,,,,2026-08-05T17:30:49
FAULTTEST,20260805_173033,e6_vr_vs_mannequin,0,3,mannequin_direct,near_pair,tag_0,left,0.455,1,0.0,0,0.0371,0.2953,0.1256,,0,0.0,,,,,0,0,0.0,,0,0,"rig fault, whole session",0.0,0,,,,,,,,,,2026-08-05T17:30:50
FAULTTEST,20260805_173033,e6_vr_vs_mannequin,0,4,mannequin_direct,side_facing,tag_0,left,1.1947,1,0.0,0,0.12573,0.35567,0.3535,,0,0.0,,,,,0,0,0.0,,0,0,"rig fault, whole session",0.0,0,,,,,,,,,,2026-08-05T17:30:51
FAULTTEST,20260805_173033,e6_vr_vs_mannequin,0,5,mannequin_direct,tilted_60,tag_0,left,0.6544,1,0.0,0,0.06,0.35567,0.1687,,0,0.0,,,,,0,0,0.0,,0,0,"rig fault, whole session",0.0,0,,,,,,,,,,2026-08-05T17:30:52
FAULTTEST,20260805_173033,e6_vr_vs_mannequin,0,6,mannequin_direct,side_facing,tag_0,left,0.6622,1,0.0,0,0.06,0.35567,0.1687,,0,0.0,,,,,0,0,0.0,,0,0,"rig fault, whole session",0.0,0,,,,,,,,,,2026-08-05T17:30:54
FAULTTEST,20260805_173033,e6_vr_vs_mannequin,0,7,mannequin_direct,mid_single,tag_0,left,0.887,1,0.0,0,0.0893,0.38471,0.2321,,0,0.0,,,,,0,0,0.0,,0,0,"rig fault, whole session",0.0,0,,,,,,,,,,2026-08-05T17:30:55
