object A,object B,centre to centre m,free gap m
0,1,0.2048,0.053
0,2,0.2364,0.0728
0,3,0.1785,0.0351
0,4,0.1512,0.0087
1,2,0.4352,0.3975
1,3,0.3766,0.3591
1,4,0.3441,0.3275
2,3,0.1534,0.124
2,4,0.0929,0.0644
3,4,0.1456,0.1374
